['2023-04-04 15:11:07', '2', '11', '触发规则ID:2,疑似SQL注入', '192.168.248.167', 61823, '192.168.248.172', 80, '1']----源ip:[192.168.248.167]被禁止入站10秒
['2023-04-04 15:11:07', '2', '11', '触发规则ID:2,疑似SQL注入', '192.168.248.167', 61823, '192.168.248.172', 80, '1']----目的ip:[192.168.248.167]被禁止出站10秒
['2023-04-04 15:11:07', '2', '11', '触发规则ID:2,疑似SQL注入', '192.168.248.167', 61823, '192.168.248.172', 80, '1']----目的ip:[192.168.248.167]解除出站限制
['2023-04-04 15:11:07', '2', '11', '触发规则ID:2,疑似SQL注入', '192.168.248.167', 61823, '192.168.248.172', 80, '1']----源ip:[192.168.248.167]解除入站限制
['2023-04-04 19:28:45', '2', '8', '触发规则ID:2,疑似SQL注入', '192.168.248.1', 4017, '192.168.248.172', 80, '1']----源ip:[192.168.248.1]被禁止入站60秒
['2023-04-04 19:28:45', '2', '8', '触发规则ID:2,疑似SQL注入', '192.168.248.1', 4017, '192.168.248.172', 80, '1']----目的ip:[192.168.248.1]被禁止出站60秒
['2023-04-04 19:28:45', '2', '8', '触发规则ID:2,疑似SQL注入', '192.168.248.1', 4017, '192.168.248.172', 80, '1']----源ip:[192.168.248.1]解除入站限制
['2023-04-04 19:28:45', '2', '8', '触发规则ID:2,疑似SQL注入', '192.168.248.1', 4017, '192.168.248.172', 80, '1']----目的ip:[192.168.248.1]解除出站限制
['2023-04-05 01:30:20', '2', '8', '触发规则ID:2,疑似SQL注入', '192.168.248.167', 53762, '192.168.248.172', 80, '1']----源ip:[192.168.248.167]被禁止入站60秒
['2023-04-05 01:30:20', '2', '8', '触发规则ID:2,疑似SQL注入', '192.168.248.167', 53762, '192.168.248.172', 80, '1']----目的ip:[192.168.248.167]被禁止出站60秒
['2023-04-05 01:30:20', '2', '8', '触发规则ID:2,疑似SQL注入', '192.168.248.167', 53762, '192.168.248.172', 80, '1']----源ip:[192.168.248.167]解除入站限制
['2023-04-05 01:30:20', '2', '8', '触发规则ID:2,疑似SQL注入', '192.168.248.167', 53762, '192.168.248.172', 80, '1']----目的ip:[192.168.248.167]解除出站限制
['2023-04-05 01:31:20', '2', '8', '触发规则ID:2,疑似SQL注入', '192.168.248.167', 53775, '192.168.248.172', 80, '1']----源ip:[192.168.248.167]被禁止入站60秒
['2023-04-05 01:31:20', '2', '8', '触发规则ID:2,疑似SQL注入', '192.168.248.167', 53775, '192.168.248.172', 80, '1']----目的ip:[192.168.248.167]被禁止出站60秒
['2023-04-05 01:31:20', '2', '8', '触发规则ID:2,疑似SQL注入', '192.168.248.167', 53775, '192.168.248.172', 80, '1']----源ip:[192.168.248.167]解除入站限制
['2023-04-05 01:31:20', '2', '8', '触发规则ID:2,疑似SQL注入', '192.168.248.167', 53775, '192.168.248.172', 80, '1']----目的ip:[192.168.248.167]解除出站限制
['2023-04-05 01:32:35', '2', '8', '触发规则ID:2,疑似SQL注入', '192.168.248.167', 53784, '192.168.248.172', 80, '1']----源ip:[192.168.248.167]被禁止入站60秒
['2023-04-05 01:32:35', '2', '8', '触发规则ID:2,疑似SQL注入', '192.168.248.167', 53784, '192.168.248.172', 80, '1']----目的ip:[192.168.248.167]被禁止出站60秒
['2023-04-05 01:32:35', '2', '8', '触发规则ID:2,疑似SQL注入', '192.168.248.167', 53784, '192.168.248.172', 80, '1']----源ip:[192.168.248.167]解除入站限制
['2023-04-05 01:32:35', '2', '8', '触发规则ID:2,疑似SQL注入', '192.168.248.167', 53784, '192.168.248.172', 80, '1']----目的ip:[192.168.248.167]解除出站限制
